state,year,name,number_of_co_cs,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,sheltered_homeless_individuals,unsheltered_homeless_individuals,homeless_people_in_families,sheltered_homeless_people_in_families,unsheltered_homeless_people_in_families,price,population,unemployment
NV,2014,Nevada,3,8582,4797,3785,7356,3571,3785,1226,1226,0,680.1666667,2831730,7.9
NV,2015,Nevada,3,8743,4528,4215,7858,3646,4212,885,882,3,700.9166667,2883057,6.8
NV,2016,Nevada,3,7398,3471,3927,6853,2937,3916,545,534,11,728.25,2939254,5.7
NV,2017,Nevada,3,7833,3255,4578,7281,2721,4560,552,534,18,762.7916667,2998039,5
NY,2014,New York,29,80590,76487,4103,32643,28600,4043,47947,47887,60,1152.291667,19773580,6.3
NY,2015,New York,27,88250,84228,4022,36135,32172,3963,52115,52056,59,1176.208333,19819347,5.3
NY,2016,New York,26,86352,82761,3591,35315,31793,3522,51037,50968,69,1185.75,19836286,4.8
NY,2017,New York,26,89503,84948,4555,37390,32890,4500,52113,52058,55,1204.458333,19849399,4.7
OH,2014,Ohio,9,11823,10720,1103,7704,6769,935,4119,3951,168,563.375,11593741,5.8
OH,2015,Ohio,9,11182,10083,1099,7565,6590,975,3617,3493,124,575.625,11606027,4.9
OH,2016,Ohio,9,10404,9266,1138,6946,5890,1056,3458,3376,82,590,11622554,5
OH,2017,Ohio,9,10095,8786,1309,6688,5494,1194,3407,3292,115,606.2916667,11658609,5
OK,2014,Oklahoma,8,4191,3259,932,2964,2291,673,1227,968,259,550.5416667,3875008,4.5
OK,2015,Oklahoma,8,3777,2999,778,2781,2111,670,996,888,108,558.625,3904353,4.4
OK,2016,Oklahoma,8,4107,3087,1020,2997,2120,877,1110,967,143,560.4166667,3921207,4.8
OK,2017,Oklahoma,8,4199,3084,1115,2824,1992,832,1375,1092,283,563.75,3930864,4.3
OR,2014,Oregon,7,12164,6101,6063,7988,3665,4323,4176,2436,1740,785.2083333,3960673,6.8
OR,2015,Oregon,7,13226,5831,7395,9461,4048,5413,3765,1783,1982,843.1666667,4016537,5.6
OR,2016,Oregon,7,13238,5236,8002,9379,3658,5721,3859,1578,2281,908.0833333,4085989,4.8
OR,2017,Oregon,7,13953,5986,7967,10434,4293,6141,3519,1693,1826,938.5833333,4142776,4.1
PA,2014,Pennsylvania,18,15333,14301,1032,8359,7420,939,6974,6881,93,715.0416667,12790341,5.9
PA,2015,Pennsylvania,16,15421,13993,1428,8605,7276,1329,6816,6717,99,725.8333333,12791124,5.3
PA,2016,Pennsylvania,16,15339,13664,1675,8599,7080,1519,6740,6584,156,740.375,12787085,5.4
PA,2017,Pennsylvania,16,14138,12340,1798,8271,6529,1742,5867,5811,56,755.875,12805537,4.9
RI,2014,Rhode Island,1,1190,1170,20,779,761,18,411,409,2,809.625,1054782,7.7
RI,2015,Rhode Island,1,1111,1075,36,706,673,33,405,402,3,848.2083333,1055916,6
RI,2016,Rhode Island,1,1160,1123,37,859,822,37,301,301,0,872.2083333,1057566,5.2
RI,2017,Rhode Island,1,1180,1111,69,802,733,69,378,378,0,901.0833333,1059639,4.5
SC,2014,South Carolina,4,5057,3249,1808,3813,2252,1561,1244,997,247,644.3333333,4824758,6.5
SC,2015,South Carolina,4,5354,3458,1896,3934,2465,1469,1420,993,427,671.125,4892423,6
SC,2016,South Carolina,4,5051,3361,1690,3758,2340,1418,1293,1021,272,695.8333333,4959822,5
SC,2017,South Carolina,4,3916,2415,1501,2896,1667,1229,1020,748,272,713.1666667,5024369,4.3
SD,2014,South Dakota,1,885,830,55,490,450,40,395,380,15,525.4583333,849455,3.4
SD,2015,South Dakota,1,1036,900,136,630,506,124,406,394,12,515.3333333,854036,3.1
SD,2016,South Dakota,1,1072,887,185,548,446,102,524,441,83,513.75,861542,3
SD,2017,South Dakota,1,943,772,171,611,452,159,332,320,12,521.625,869666,3.3
TN,2014,Tennessee,10,9415,6383,3032,6800,4693,2107,2615,1690,925,596.0833333,6540007,6.6
TN,2015,Tennessee,10,9123,5879,3244,6516,4075,2441,2607,1804,803,611.7083333,6590726,5.6
TN,2016,Tennessee,10,8779,5773,3006,6652,4202,2450,2127,1571,556,627.75,6649404,4.7
TN,2017,Tennessee,10,8309,5544,2765,6137,3883,2254,2172,1661,511,643.125,6715984,3.7
TX,2014,Texas,12,28495,18228,10267,19177,9758,9419,9318,8470,848,713.25,26954436,5.1
TX,2015,Texas,11,23678,16192,7486,16265,9234,7031,7413,6958,455,738.875,27454880,4.4
TX,2016,Texas,11,23122,16214,6908,15959,9315,6644,7163,6899,264,759.3333333,27904862,4.6
TX,2017,Texas,11,23548,15055,8493,16708,8714,7994,6840,6341,499,770.4583333,28304596,4.3
UT,2014,Utah,3,3081,2768,313,1729,1540,189,1352,1228,124,636.7083333,2938671,3.8
UT,2015,Utah,3,3025,2799,226,1809,1605,204,1216,1194,22,651.6666667,2984917,3.6
UT,2016,Utah,3,2807,2571,236,1828,1612,216,979,959,20,677.3333333,3044321,3.4
UT,2017,Utah,3,2852,2574,278,1882,1604,278,970,970,0,705.5,3101833,3.2
VA,2014,Virginia,16,7020,6330,690,4234,3570,664,2786,2760,26,955.2083333,8316902,5.2
VA,2015,Virginia,16,7001,6190,811,4190,3434,756,2811,2756,55,968.8333333,8366767,4.5
VA,2016,Virginia,16,6268,5502,766,3959,3245,714,2309,2257,52,990.8333333,8414380,4.1
VA,2017,Virginia,16,6067,5059,1008,4028,3049,979,2039,2010,29,1005,8470020,3.8
VT,2014,Vermont,2,1559,1396,163,823,704,119,736,692,44,845.5833333,625665,4
VT,2015,Vermont,2,1523,1373,150,910,775,135,613,598,15,891,624455,3.6
VT,2016,Vermont,2,1117,961,156,655,516,139,462,445,17,902.0454545,623354,3.2
VT,2017,Vermont,2,1225,1091,134,697,600,97,528,491,37,900.0833333,623657,3
WA,2014,Washington,7,18442,12540,5902,11390,6257,5133,7052,6283,769,887.2916667,7046931,6.1
WA,2015,Washington,7,19419,12298,7121,12526,6200,6326,6893,6098,795,943.5,7152818,5.7
WA,2016,Washington,7,20827,12361,8466,13900,6389,7511,6927,5972,955,1014.333333,7280934,5.3
WA,2017,Washington,7,21112,12521,8591,14781,6733,8048,6331,5788,543,1064.208333,7405743,4.8
WI,2014,Wisconsin,4,6055,5712,343,2929,2676,253,3126,3036,90,591.7083333,5751272,5.4
WI,2015,Wisconsin,4,6057,5615,442,2992,2647,345,3065,2968,97,602.125,5759744,4.5
WI,2016,Wisconsin,4,5685,5275,410,2886,2495,391,2799,2780,19,611.5,5772917,4
WI,2017,Wisconsin,4,5027,4687,340,2645,2317,328,2382,2370,12,622.375,5795483,3.3
WV,2014,West Virginia,4,2013,1583,430,1488,1175,313,525,408,117,575.4166667,1847624,6.6
WV,2015,West Virginia,4,1835,1403,432,1414,1049,365,421,354,67,579.875,1839767,6.7
WV,2016,West Virginia,4,1387,1252,135,1039,904,135,348,348,0,574.25,1828637,6.1
WV,2017,West Virginia,4,1309,1121,188,1032,860,172,277,261,16,574,1815857,5.2
WY,2014,Wyoming,1,757,563,194,463,327,136,294,236,58,589.2916667,583334,4.1
WY,2015,Wyoming,1,798,507,291,500,292,208,298,215,83,593.8333333,586102,4.3
WY,2016,Wyoming,1,857,491,366,517,277,240,340,214,126,580.0833333,584910,5.3
WY,2017,Wyoming,1,873,510,363,622,383,239,251,127,124,576.5833333,579315,4.2
